filename,groundtruth
../videos/Normal_Videos_015_x264.mp4, normal event
../videos/Normal_Videos_050_x264.mp4, normal event 
../videos/Normal_Videos_100_x264.mp4, normal event 
../videos/Normal_Videos_129_x264.mp4, normal event
../videos/Normal_Videos_150_x264.mp4, normal event 
../videos/Normal_Videos_246_x264.mp4 ,normal event
../videos/Normal_Videos_247_x264.mp4 ,normal event
../videos/Normal_Videos_248_x264.mp4 ,normal event
../videos/Normal_Videos_251_x264.mp4 ,normal event
../videos/Normal_Videos_289_x264.mp4 ,normal event
../videos/Normal_Videos_310_x264.mp4 ,normal event
../videos/Normal_Videos_312_x264.mp4 ,normal event
